Gender:,Which income-group do you belong to?,SENSING/INTUITION,EXTRAVERSION/INTROVERSION,JUDGING/PERCEIVING,THINKING/FEELINGS,logical intelligence,Nature intelligence,Visual intelligence,Musical intelligence,Body intelligence,Interpersonal intelligence,Intrapersonal intelligence,Verbal intelligence,Existential intelligence,Specialization:
0.0,1.0,0.428571429,0.857142857,0.857142857,0.714285714,0.8,0.7,0.9,0.25,0.8,0.8,0.55,0.7,0.55,Nutrition Sciences
1.0,2.0,0.857142857,0.285714286,0.428571429,0.285714286,0.4,0.6,0.65,0.85,0.35,0.75,0.7,0.85,0.9,Nutrition Sciences
0.0,3.0,0.142857143,0.428571429,0.285714286,0.142857143,0.7,0.55,0.7,0.65,0.75,0.95,1.0,0.45,0.8,Nutrition Sciences
0.0,3.0,0.714285714,0.285714286,0.0,0.571428571,0.8,0.65,0.95,0.25,0.75,0.85,0.65,0.85,0.9,Medical Technology
1.0,1.0,0.0,0.142857143,0.571428571,0.142857143,0.85,0.85,1.0,0.75,0.95,0.9,0.85,0.9,0.95,Nutrition Sciences
1.0,0.0,0.142857143,0.571428571,0.0,0.142857143,0.7,0.95,0.85,0.3,0.75,1.0,0.9,0.8,0.85,MBBS
0.0,1.0,0.571428571,0.285714286,0.714285714,1.0,0.75,0.9,0.6,0.65,0.8,0.6,0.4,0.5,0.25,Biotechnology
1.0,3.0,0.714285714,0.285714286,0.285714286,0.285714286,0.4,0.55,0.75,0.2,0.55,0.8,0.7,0.7,0.8,Nutrition Sciences
1.0,1.0,0.428571429,0.571428571,0.857142857,0.142857143,0.75,0.65,0.6,0.2,0.25,0.95,0.7,0.45,0.6,Nutrition Sciences
0.0,3.0,0.571428571,0.714285714,0.714285714,0.571428571,0.95,0.85,0.8,0.65,0.8,0.6,0.7,0.55,0.8,Medical Technology
1.0,1.0,0.142857143,0.857142857,0.571428571,0.857142857,0.6,0.55,0.75,0.3,0.8,1.0,0.7,0.45,0.0,Medical Technology
0.0,1.0,0.714285714,0.571428571,0.714285714,0.428571429,0.75,0.9,0.6,0.65,0.8,0.8,0.4,0.45,0.7,Biotechnology
0.0,1.0,0.428571429,0.428571429,1.0,0.857142857,0.9,0.55,0.75,0.55,0.85,0.75,0.45,0.65,0.6,MBBS
1.0,1.0,0.0,0.714285714,0.285714286,0.0,0.75,0.6,0.65,0.95,0.9,0.8,0.75,0.85,0.9,MBBS
0.0,0.0,0.428571429,0.285714286,1.0,0.142857143,0.9,0.75,0.65,0.75,0.45,0.9,0.35,0.75,0.6,MBBS
1.0,3.0,0.714285714,0.714285714,1.0,1.0,0.93333,0.66666667,0.66667,0.6,0.8,0.866667,0.733333333,0.3333333,1.0,MBBS
1.0,1.0,0.571428571,0.714285714,0.857142857,1.0,0.53333,0.73333333,0.73333,0.666667,0.8,0.866667,0.666666667,0.7333333,0.75,MBBS
1.0,1.0,0.714285714,0.285714286,1.0,0.857142857,0.53333,0.46666667,0.33333,0.8,0.6,0.8,0.933333333,0.4666667,1.0,MBBS
0.0,3.0,0.714285714,0.714285714,0.857142857,1.0,0.66667,0.8,0.93333,0.8,0.86666667,0.8,0.466666667,0.8666667,0.75,MBBS
1.0,1.0,0.857142857,0.857142857,1.0,0.857142857,0.93333,0.93333333,0.93333,0.866667,0.93333333,0.8,0.933333333,0.9333333,0.85,MBBS
1.0,2.0,0.142857143,0.857142857,0.428571429,0.285714286,0.86667,0.6,0.93333,0.1,0.86666667,0.733333,0.6,0.4666667,0.75,MBBS
0.0,1.0,0.714285714,0.857142857,1.0,1.0,0.6,0.53333333,0.86667,0.733333,0.8,1.0,0.733333333,0.8,0.55,MBBS
0.0,1.0,0.714285714,0.285714286,0.857142857,0.857142857,0.6,0.55,0.75,0.65,0.8,0.8,0.4,0.45,0.7,Biotechnology
1.0,3.0,0.857142857,0.428571429,0.428571429,0.571428571,0.75,1.0,1.0,0.9,0.7,0.75,0.55,0.85,0.9,Biotechnology
1.0,3.0,0.571428571,0.571428571,0.571428571,0.428571429,0.45,0.3,0.6,0.3,0.8,0.6,0.45,0.4,0.25,Biotechnology
1.0,2.0,0.857142857,0.285714286,0.428571429,0.285714286,0.4,0.6,0.65,0.85,0.35,0.75,0.7,0.85,0.9,Nutrition Sciences
0.0,3.0,0.428571429,0.285714286,0.714285714,0.571428571,0.75,0.7,0.65,0.4,0.75,0.65,0.7,0.6,0.75,MBBS
1.0,1.0,0.857142857,0.571428571,0.428571429,0.285714286,0.55,0.8,0.8,0.5,0.6,0.7,0.8,0.85,0.85,MBBS
0.0,3.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,2.8,1.2,2.8,2.6,2.4,2.8,3.8,3.2,2.4,D-Pharmacy
0.0,3.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,2.8,1.2,2.8,2.6,2.4,2.8,3.8,3.2,2.4,D-Pharmacy
1.0,2.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,0.5714285714285714,2.8,1.2,2.8,2.6,2.4,2.8,3.8,3.2,2.4,D-Pharmacy
